Bouteille en plastique | Recyclage
Pomme de terre | Compost
Canette | Recyclage
Journal | Recyclage
Boîte en carton | Recyclage
Sac en plastique | Recyclage
Épluchures de légumes | Compost
Bouteille en verre | Recyclage
Boîte de conserve | Recyclage
Bouchons en plastique | Recyclage
Restes de nourriture | Compost
Tetra Pak | Recyclage
Café moulu | Compost
Boîtes alimentaires | Recyclage
Écopes de fruits | Compost
Papier d'emballage | Recyclage
Magazines | Recyclage
Piles | Déchets spéciaux
Bouchons en métal | Recyclage
Papiers de bonbons | Recyclage
Écrans | Déchets électroniques
Bouchons en liège | Compost
Bouteille en PET | Recyclage
Boîtes à pizza | Recyclage
Cahiers | Recyclage
Bouteilles de vin | Recyclage
Déchets de jardin | Compost
Tetra Pak | Recyclage
